epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5133,0.6583,1.87112,2.56271,0.97897,0.7871,0.65652,0.73012,0.60903,0.69535,0.66272,0.66734,0.37275,0.66993,2.21948,1.14902,0.94465,0.000234394,0.000234394,0.000234394
2,31.8036,0.80409,1.70281,1.47808,1.03087,0.54311,0.58651,0.58742,0.42686,0.53652,0.58583,0.56947,0.31096,0.9503,1.93752,1.75207,1.1746,0.000472365,0.000472365,0.000472365
3,46.5469,0.85678,1.69093,1.32476,1.05867,0.63211,0.62701,0.59183,0.40778,0.60985,0.64815,0.58382,0.31364,0.96258,1.91761,3.10734,1.21016,0.00071022,0.00071022,0.00071022
4,61.8576,0.83654,1.61112,1.23251,1.06408,0.72076,0.77505,0.81328,0.62617,0.71688,0.76814,0.80245,0.48144,0.80399,1.49033,1.41192,1.02931,0.000713608,0.000713608,0.000713608
5,76.883,0.85779,1.66771,1.19981,1.06403,0.66391,0.70669,0.76871,0.59892,0.65212,0.70855,0.75496,0.44317,0.81894,1.64357,1.64632,1.06872,0.000713303,0.000713303,0.000713303
6,91.0147,0.79664,1.6336,1.05645,1.02233,0.6407,0.71761,0.79343,0.64235,0.62965,0.73699,0.78486,0.46716,0.77831,1.6392,1.18428,1.0385,0.00071291,0.00071291,0.00071291
7,106.275,0.78821,1.59468,1.01694,1.03182,0.72496,0.75986,0.76445,0.62535,0.71626,0.74609,0.73956,0.47295,0.67074,1.50242,1.24713,0.97908,0.000712431,0.000712431,0.000712431
8,120.964,0.77506,1.59602,0.97379,1.01951,0.67464,0.73386,0.77594,0.64569,0.66736,0.7358,0.76254,0.46447,0.67968,1.44203,1.17404,0.97912,0.000711866,0.000711866,0.000711866
9,136.341,0.74993,1.59551,0.93579,1.0214,0.68674,0.72198,0.80946,0.67066,0.67559,0.70779,0.78058,0.40807,0.66574,1.72435,1.08066,0.95468,0.000711213,0.000711213,0.000711213
10,149.626,0.73247,1.47109,0.90278,1.00358,0.80124,0.76095,0.82434,0.69578,0.8179,0.75985,0.82516,0.52263,0.64735,1.52287,0.8737,0.95874,0.000710474,0.000710474,0.000710474
11,164.376,0.71566,1.55477,0.88813,1.0024,0.78543,0.82604,0.86791,0.72123,0.8247,0.78342,0.85322,0.4991,0.65412,1.57772,0.87057,0.95911,0.000709649,0.000709649,0.000709649
12,179.49,0.727,1.52738,0.87471,1.00508,0.82585,0.81837,0.88059,0.74361,0.79042,0.809,0.86309,0.52538,0.6089,1.50819,0.85123,0.93666,0.000708737,0.000708737,0.000708737
13,195.283,0.71856,1.50177,0.87816,1.01019,0.78243,0.75223,0.86155,0.73363,0.7644,0.74386,0.84094,0.54532,0.62486,1.39904,0.95974,0.94356,0.00070774,0.00070774,0.00070774
